Saison;Compétition;Journée;Date;Dom./Ext.;Pour;Contre;Résultat;Pos.;Minute;À ce moment;Type de but;Passeur
Saison 14/15;Coupe du Roi;Viertelfinale;21/01/2015;D;FC Barcelona ;Atlético Madrid;01:00;AiD;85';01:00;Rebond de penalty;
Saison 14/15;LaLiga;20;24/01/2015;E;FC Barcelona (2.);Elche CF (17.);00:06;AC;55';00:02;Penalty;
Saison 14/15;;;;;;;;;88';00:05;Tir du pied gauche;Marc Bartra
Saison 14/15;LaLiga;21;01/02/2015;D;FC Barcelona (2.);Villarreal CF (6.);03:02;AiD;55';03:02;Tir du pied droit;Luis Suárez
Saison 14/15;LaLiga;22;08/02/2015;E;FC Barcelona (2.);Athletic (12.);02:05;AiD;15';00:01;Coup-franc direct;
Saison 14/15;Coupe du Roi;Halbfinale;11/02/2015;D;FC Barcelona ;Villarreal CF;03:01;AiD;41';01:00;Tir du pied gauche;Luis Suárez
Saison 14/15;LaLiga;23;15/02/2015;D;FC Barcelona (2.);UD Levante (17.);05:00;AC;38';02:00;Tir du pied droit;Marc Bartra
Saison 14/15;;;;;;;;;59';03:00;Tir du pied droit;Pedro
Saison 14/15;;;;;;;;;65';04:00;Penalty;
Saison 14/15;LaLiga;25;28/02/2015;E;FC Barcelona (2.);FC Granada (19.);01:03;AiD;70';01:03;Tir du pied droit;Luis Suárez
Saison 14/15;LaLiga;26;08/03/2015;D;FC Barcelona (2.);Rayo Vallecano (11.);06:01;AiD;56';03:00;Penalty;
Saison 14/15;;;;;;;;;63';04:00;But de près;
Saison 14/15;;;;;;;;;68';05:00;Tir du pied gauche;Pedro
Saison 14/15;LaLiga;27;14/03/2015;E;FC Barcelona (1.);SD Eibar (14.);00:02;AiD;31';00:01;Penalty;
Saison 14/15;;;;;;;;;55';00:02;Tête;Ivan Rakitic
Saison 14/15;LaLiga;30;08/04/2015;D;FC Barcelona (1.);UD Almería (19.);04:00;AiD;33';01:00;Tir du pied gauche;Marc Bartra
Saison 14/15;LaLiga;31;11/04/2015;E;FC Barcelona (1.);Séville FC (5.);02:02;AiD;15';00:01;Tir du pied gauche;Neymar
Saison 14/15;LaLiga;32;18/04/2015;D;FC Barcelona (1.);FC Valencia (4.);02:00;AiD;90'+4;02:00;Tir du pied gauche;
Saison 14/15;LaLiga;33;25/04/2015;E;FC Barcelona (1.);Esp. Barcelona (9.);00:02;AiD;25';00:02;Tir du pied gauche;Luis Suárez
Saison 14/15;LaLiga;34;28/04/2015;D;FC Barcelona (1.);FC Getafe (13.);06:00;AiD;9';01:00;Penalty;
Saison 14/15;;;;;;;;;47';06:00;Tir du pied gauche;Luis Suárez
Saison 14/15;LaLiga;35;02/05/2015;E;FC Barcelona (1.);FC Córdoba (20.);00:08;AiD;47';00:03;Tête;Dani Alves
Saison 14/15;;;;;;;;;80';00:06;Tir du pied gauche;Luis Suárez
Saison 14/15;UEFA Champions League;Halbfinale;06/05/2015;D;FC Barcelona ;Bayern Munich;03:00;AiD;77';01:00;Tir du pied gauche;Dani Alves
Saison 14/15;;;;;;;;;80';02:00;Tir du pied droit;Ivan Rakitic
Saison 14/15;LaLiga;37;17/05/2015;E;FC Barcelona (1.);Atlético Madrid (3.);00:01;AiD;65';00:01;Tir du pied gauche;Pedro
Saison 14/15;LaLiga;38;23/05/2015;D;FC Barcelona (1.);Dep. La Coruña (17.);02:02;AiD;5';01:00;Tête;Rafinha
Saison 14/15;;;;;;;;;59';02:00;Tir du pied droit;Neymar
Saison 14/15;Coupe du Roi;Finale;30/05/2015;E;FC Barcelona ;Athletic;01:03;AiD;20';00:01;Action solitaire;
Saison 14/15;;;;;;;;;74';00:03;Tir du pied gauche;Dani Alves
Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16;Saison 15/16
Saison 15/16;Supercoupe de l'UEFA;Finale;11/08/2015;D;FC Barcelona ;Séville FC;5:4 ap;AiD;7';01:01;Coup-franc direct;
Saison 15/16;;;;;;;;;16';02:01;Coup-franc direct;
Saison 15/16;Supercopa;Finale;17/08/2015;D;FC Barcelona ;Athletic;01:01;AiD;43';01:00;Tir du pied gauche;Luis Suárez
Saison 15/16;LaLiga;3;12/09/2015;E;FC Barcelona (4.);Atlético Madrid (3.);01:02;AiD;77';01:02;Tir du pied gauche;Luis Suárez
Saison 15/16;LaLiga;4;20/09/2015;D;FC Barcelona (1.);UD Levante (13.);04:01;2S;61';03:00;Penalty;
Saison 15/16;;;;;;;;;90';04:01;Tir du pied gauche;Marc Bartra
Saison 15/16;UEFA Champions League;Gruppenphase;24/11/2015;D;FC Barcelona ;AS Roma;06:01;AiD;18';02:00;Tir du pied gauche;Luis Suárez
Saison 15/16;;;;;;;;;60';05:00;But de près;
Saison 15/16;LaLiga;13;28/11/2015;D;FC Barcelona (1.);Real Sociedad (14.);04:00;AiD;90'+1;04:00;Tir du pied gauche;Neymar
Saison 15/16;UEFA Champions League;Gruppenphase;09/12/2015;E;FC Barcelona ;B. Leverkusen;01:01;AiD;20';00:01;Tir du pied droit;Ivan Rakitic
Saison 15/16;LaLiga;15;12/12/2015;D;FC Barcelona (1.);Dep. La Coruña (6.);02:02;AiD;39';01:00;Coup-franc direct;
Saison 15/16;Mondial des clubs;Finale;20/12/2015;E;FC Barcelona ;River Plate;00:03;AiD;36';00:01;Tir du pied gauche;Neymar
Saison 15/16;LaLiga;17;30/12/2015;D;FC Barcelona (1.);Real Betis (12.);04:00;AiD;33';02:00;Tir du pied droit;Neymar
Saison 15/16;Coupe du Roi;Achtelfinale;06/01/2016;D;FC Barcelona ;Esp. Barcelona;04:01;AiD;13';01:01;Tir du pied gauche;Andrés Iniesta
Saison 15/16;;;;;;;;;44';02:01;Coup-franc direct;
Saison 15/16;LaLiga;19;09/01/2016;D;FC Barcelona (1.);FC Granada (17.);04:00;AiD;8';01:00;Tir du pied gauche;Arda Turan
Saison 15/16;;;;;;;;;14';02:00;Tir du pied gauche;Luis Suárez
Saison 15/16;;;;;;;;;58';03:00;But de près;
Saison 15/16;LaLiga;20;17/01/2016;D;FC Barcelona (1.);Athletic (8.);06:00;AiD;7';01:00;Penalty;
Saison 15/16;LaLiga;21;23/01/2016;E;FC Barcelona (1.);Málaga CF (12.);01:02;AiD;51';01:02;Tir du pied gauche;Adriano
Saison 15/16;LaLiga;22;30/01/2016;D;FC Barcelona (1.);Atlético Madrid (2.);02:01;AiD;30';01:01;Tir du pied gauche;Jordi Alba
Saison 15/16;Coupe du Roi;Halbfinale;03/02/2016;D;FC Barcelona ;FC Valencia;07:00;AiD;29';03:00;Tir du pied gauche;Neymar
Saison 15/16;;;;;;;;;59';04:00;Tir du pied gauche;Luis Suárez
Saison 15/16;;;;;;;;;74';05:00;Tir du pied gauche;
Saison 15/16;LaLiga;24;14/02/2016;D;FC Barcelona (1.);Celta de Vigo (7.);06:01;AiD;28';01:00;Coup-franc direct;
Saison 15/16;LaLiga;16;17/02/2016;E;FC Barcelona (1.);Sporting Gijón (15.);01:03;AiD;25';00:01;Tir du pied gauche;Luis Suárez
Saison 15/16;;;;;;;;;31';01:02;Tir du pied gauche;Luis Suárez
Saison 15/16;UEFA Champions League;Achtelfinale;23/02/2016;E;FC Barcelona ;Arsenal;00:02;AiD;71';00:01;Tir du pied gauche;Neymar
Saison 15/16;;;;;;;;;83';00:02;Penalty;
Saison 15/16;LaLiga;26;28/02/2016;D;FC Barcelona (1.);Séville FC (5.);02:01;AiD;31';01:01;Coup-franc direct;
Saison 15/16;LaLiga;27;03/03/2016;E;FC Barcelona (1.);Rayo Vallecano (16.);01:05;AiD;23';00:02;Tir du pied gauche;Neymar
Saison 15/16;;;;;;;;;53';00:03;Tir du pied gauche;
Saison 15/16;;;;;;;;;72';01:04;Tir du pied gauche;Sergio Busquets
Saison 15/16;LaLiga;28;06/03/2016;E;FC Barcelona (1.);SD Eibar (8.);00:04;AiD;42';00:02;Tir du pied gauche;Munir El Haddadi
Saison 15/16;;;;;;;;;76';00:03;Penalty;
Saison 15/16;LaLiga;29;12/03/2016;D;FC Barcelona (1.);FC Getafe (16.);06:00;AC;41';04:00;Tir du pied gauche;Arda Turan
Saison 15/16;UEFA Champions League;Achtelfinale;16/03/2016;D;FC Barcelona ;Arsenal;03:01;AiD;86';03:01;Tir du pied gauche;Neymar
Saison 15/16;LaLiga;33;17/04/2016;D;FC Barcelona (1.);FC Valencia (14.);01:02;AiD;63';01:02;Tir du pied gauche;Jordi Alba
Saison 15/16;LaLiga;34;20/04/2016;E;FC Barcelona (1.);Dep. La Coruña (13.);00:08;AiD;73';00:06;Tir du pied gauche;Luis Suárez
Saison 15/16;LaLiga;35;23/04/2016;D;FC Barcelona (1.);Sporting Gijón (18.);06:00;AiD;13';01:00;Tête;
Saison 15/16;LaLiga;37;08/05/2016;D;FC Barcelona (1.);Esp. Barcelona (14.);05:00;AiD;8';01:00;Coup-franc direct;
Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17;Saison 16/17
Saison 16/17;Supercopa;Finale;17/08/2016;D;FC Barcelona ;Séville FC;03:00;AiD;55';03:00;Tête;Lucas Digne
Saison 16/17;LaLiga;1;20/08/2016;D;FC Barcelona (2.);Real Betis (15.);06:02;AiD;37';02:01;Tir du pied gauche;Sergi Roberto
Saison 16/17;;;;;;;;;58';05:01;Tir du pied gauche;Arda Turan
Saison 16/17;UEFA Champions League;Gruppenphase;13/09/2016;D;FC Barcelona ;Celtic Glasgow;07:00;AiD;3';01:00;Tir du pied gauche;Neymar
Saison 16/17;;;;;;;;;27';02:00;Tir du pied gauche;Neymar
Saison 16/17;;;;;;;;;60';05:00;Tir du pied gauche;Luis Suárez
Saison 16/17;LaLiga;4;17/09/2016;E;FC Barcelona (5.);CD Leganés (12.);01:05;AiD;15';00:01;Tir du pied gauche;Luis Suárez
Saison 16/17;;;;;;;;;55';00:04;Penalty;
Saison 16/17;LaLiga;8;15/10/2016;D;FC Barcelona (4.);Dep. La Coruña (14.);04:00;AiD;58';04:00;Tir du pied gauche;Neymar
Saison 16/17;UEFA Champions League;Gruppenphase;19/10/2016;D;FC Barcelona ;Manchester City;04:00;AiD;17';01:00;Tir du pied gauche;Andrés Iniesta
Saison 16/17;;;;;;;;;61';02:00;Tir du pied gauche;Andrés Iniesta
Saison 16/17;;;;;;;;;69';03:00;Tir du pied gauche;Luis Suárez
Saison 16/17;LaLiga;9;22/10/2016;E;FC Barcelona (4.);FC Valencia (14.);02:03;AiD;22';00:01;Tir du pied gauche;Ivan Rakitic
Saison 16/17;;;;;;;;;90'+4;02:03;Penalty;
Saison 16/17;UEFA Champions League;Gruppenphase;01/11/2016;E;FC Barcelona ;Manchester City;03:01;AiD;21';00:01;Tir du pied gauche;Neymar
Saison 16/17;LaLiga;11;06/11/2016;E;FC Barcelona (2.);Séville FC (3.);01:02;AiD;43';01:01;Tir du pied gauche;Neymar
Saison 16/17;UEFA Champions League;Gruppenphase;23/11/2016;E;FC Barcelona ;Celtic Glasgow;00:02;AiD;24';00:01;Tir du pied gauche;Neymar
Saison 16/17;;;;;;;;;55';00:02;Penalty;
Saison 16/17;LaLiga;13;27/11/2016;E;FC Barcelona (2.);Real Sociedad (5.);01:01;AiD;59';01:01;Tir du pied gauche;Neymar
Saison 16/17;UEFA Champions League;Gruppenphase;06/12/2016;D;FC Barcelona ;Bor. M'gladbach;04:00;AiD;16';01:00;Tir du pied gauche;Arda Turan
Saison 16/17;LaLiga;15;10/12/2016;E;FC Barcelona (2.);CA Osasuna (20.);00:03;AiD;72';00:02;Tir du pied gauche;Jordi Alba
Saison 16/17;;;;;;;;;90'+2;00:03;Tir du pied gauche;Sergio Busquets
Saison 16/17;LaLiga;16;18/12/2016;D;FC Barcelona (2.);Esp. Barcelona (9.);04:01;AiD;90';04:01;Tir du pied gauche;Luis Suárez
Saison 16/17;Coupe du Roi;Achtelfinale;05/01/2017;E;FC Barcelona ;Athletic;02:01;AiD;52';02:01;Coup-franc direct;
Saison 16/17;LaLiga;17;08/01/2017;E;FC Barcelona (2.);Villarreal CF (4.);01:01;AiD;90';01:01;Coup-franc direct;
Saison 16/17;Coupe du Roi;Achtelfinale;11/01/2017;D;FC Barcelona ;Athletic;03:01;AiD;78';03:01;Coup-franc direct;
Saison 16/17;LaLiga;18;14/01/2017;D;FC Barcelona (3.);UD Las Palmas (8.);05:00;AiD;52';02:00;Tir du pied droit;
Saison 16/17;LaLiga;19;22/01/2017;E;FC Barcelona (3.);SD Eibar (9.);00:04;AiD;50';00:02;Tir du pied gauche;Luis Suárez
Saison 16/17;Coupe du Roi;Viertelfinale;26/01/2017;D;FC Barcelona ;Real Sociedad;05:02;AiD;55';02:00;Penalty;
Saison 16/17;Coupe du Roi;Halbfinale;01/02/2017;E;FC Barcelona ;Atlético Madrid;01:02;AiD;33';00:02;Tir du pied gauche;Ivan Rakitic
Saison 16/17;LaLiga;21;04/02/2017;D;FC Barcelona (2.);Athletic (7.);03:00;AiD;40';02:00;Coup-franc direct;
Saison 16/17;LaLiga;22;11/02/2017;E;FC Barcelona (2.);Alavés (12.);00:06;AiD;59';00:03;Tir du pied gauche;Neymar
Saison 16/17;LaLiga;23;19/02/2017;D;FC Barcelona (2.);CD Leganés (17.);02:01;AiD;4';01:00;Tir du pied droit;Luis Suárez
Saison 16/17;;;;;;;;;90';02:01;Penalty;
Saison 16/17;LaLiga;24;26/02/2017;E;FC Barcelona (2.);Atlético Madrid (4.);01:02;AiD;86';01:02;Tir du pied gauche;
Saison 16/17;LaLiga;25;01/03/2017;D;FC Barcelona (2.);Sporting Gijón (18.);06:01;AiD;9';01:00;Tête;Javier Mascherano
Saison 16/17;LaLiga;26;04/03/2017;D;FC Barcelona (2.);Celta de Vigo (10.);05:00;MO;24';01:00;Tir du pied gauche;Sergio Busquets
Saison 16/17;;;;;;;;;64';05:00;Tir du pied gauche;
Saison 16/17;UEFA Champions League;Achtelfinale;08/03/2017;D;FC Barcelona ;Paris SG;06:01;MO;50';03:00;Penalty;
Saison 16/17;LaLiga;28;19/03/2017;D;FC Barcelona (2.);FC Valencia (13.);04:02;MO;45';02:01;Penalty;
Saison 16/17;;;;;;;;;53';03:02;Tir du pied droit;Javier Mascherano
Saison 16/17;LaLiga;30;05/04/2017;D;FC Barcelona (2.);Séville FC (4.);03:00;AiD;28';02:00;Tir du pied droit;Luis Suárez
Saison 16/17;;;;;;;;;33';03:00;Tir du pied gauche;
Saison 16/17;LaLiga;32;15/04/2017;D;FC Barcelona (2.);Real Sociedad (6.);03:02;AiD;17';01:00;Tir du pied gauche;Luis Suárez
Saison 16/17;;;;;;;;;37';02:00;But de près;
Saison 16/17;LaLiga;33;23/04/2017;E;FC Barcelona (2.);Real Madrid (1.);02:03;AiD;33';01:01;Tir du pied gauche;Ivan Rakitic
Saison 16/17;;;;;;;;;90'+2;02:03;Tir du pied gauche;Jordi Alba
Saison 16/17;LaLiga;34;26/04/2017;D;FC Barcelona (2.);CA Osasuna (20.);07:01;MO;12';01:00;Tir du pied gauche;
Saison 16/17;;;;;;;;;61';04:01;Tir du pied gauche;Ivan Rakitic
Saison 16/17;LaLiga;36;06/05/2017;D;FC Barcelona (2.);Villarreal CF (5.);04:01;AiD;45';02:01;Tir du pied gauche;Sergio Busquets
Saison 16/17;;;;;;;;;82';04:01;Penalty;
Saison 16/17;LaLiga;38;21/05/2017;D;FC Barcelona (2.);SD Eibar (8.);04:02;AiD;75';03:02;Penalty;
Saison 16/17;;;;;;;;;90'+2;04:02;Tir du pied droit;
Saison 16/17;Coupe du Roi;Finale;27/05/2017;D;FC Barcelona ;Alavés;03:01;AiD;30';01:00;Tir du pied gauche;Neymar
Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18;Saison 17/18
Saison 17/18;Supercopa;Finale;13/08/2017;D;FC Barcelona ;Real Madrid;01:03;AiD;77';01:01;Penalty;
Saison 17/18;LaLiga;2;26/08/2017;E;FC Barcelona (2.);Alavés (16.);00:02;AC;55';00:01;Tir du pied gauche;Jordi Alba
Saison 17/18;;;;;;;;;66';00:02;Tir du pied gauche;Paco Alcácer
Saison 17/18;LaLiga;3;09/09/2017;D;FC Barcelona (2.);Esp. Barcelona (13.);05:00;AC;26';01:00;Tir du pied gauche;Ivan Rakitic
Saison 17/18;;;;;;;;;35';02:00;Tir du pied droit;Jordi Alba
Saison 17/18;;;;;;;;;67';03:00;Tir du pied gauche;Jordi Alba
Saison 17/18;UEFA Champions League;Gruppenphase;12/09/2017;D;FC Barcelona ;Juventus Turin;03:00;AC;45';01:00;Tir du pied gauche;Luis Suárez
Saison 17/18;;;;;;;;;69';03:00;Tir du pied gauche;
Saison 17/18;LaLiga;5;19/09/2017;D;FC Barcelona (1.);SD Eibar (10.);06:01;AC;21';01:00;Penalty;
Saison 17/18;;;;;;;;;59';04:01;Tir du pied gauche;Sergio Busquets
Saison 17/18;;;;;;;;;62';05:01;Tir du pied gauche;Paulinho
Saison 17/18;;;;;;;;;87';06:01;Tir du pied gauche;Aleix Vidal
Saison 17/18;LaLiga;7;01/10/2017;D;FC Barcelona (1.);UD Las Palmas (15.);03:00;2S;70';02:00;Tir du pied gauche;Denis Suárez
Saison 17/18;;;;;;;;;77';03:00;Tir du pied gauche;Luis Suárez
Saison 17/18;UEFA Champions League;Gruppenphase;18/10/2017;D;FC Barcelona ;Olymp. Pirée;03:01;AC;61';02:00;Coup-franc direct;
Saison 17/18;LaLiga;10;28/10/2017;E;FC Barcelona (1.);Athletic (11.);00:02;2S;37';00:01;Tir du pied gauche;Jordi Alba
Saison 17/18;LaLiga;14;02/12/2017;D;FC Barcelona (1.);Celta de Vigo (9.);02:02;2S;22';01:01;Tir du pied gauche;Paulinho
Saison 17/18;LaLiga;15;10/12/2017;E;FC Barcelona (1.);Villarreal CF (6.);00:02;AiD;83';00:02;Tir du pied gauche;Sergio Busquets
Saison 17/18;LaLiga;17;23/12/2017;E;FC Barcelona (1.);Real Madrid (3.);00:03;2S;64';00:02;Penalty;
Saison 17/18;LaLiga;18;07/01/2018;D;FC Barcelona (1.);UD Levante (16.);03:00;2S;12';01:00;Tir du pied gauche;Jordi Alba
Saison 17/18;Coupe du Roi;Achtelfinale;11/01/2018;D;FC Barcelona ;Celta de Vigo;05:00;2S;13';01:00;Tir du pied gauche;Jordi Alba
Saison 17/18;;;;;;;;;15';02:00;Tir du pied gauche;Jordi Alba
Saison 17/18;LaLiga;19;14/01/2018;E;FC Barcelona (1.);Real Sociedad (14.);02:04;2S;85';02:04;Coup-franc direct;
Saison 17/18;LaLiga;20;21/01/2018;E;FC Barcelona (1.);Real Betis (8.);00:05;2S;64';00:02;Tir du pied gauche;Sergio Busquets
Saison 17/18;;;;;;;;;80';00:04;Tir du pied gauche;Luis Suárez
Saison 17/18;Coupe du Roi;Viertelfinale;25/01/2018;D;FC Barcelona ;Esp. Barcelona;02:00;2S;25';02:00;Tir dévié dans le but;
Saison 17/18;LaLiga;21;28/01/2018;D;FC Barcelona (1.);Alavés (16.);02:01;2S;84';02:01;Coup-franc direct;
Saison 17/18;UEFA Champions League;Achtelfinale;20/02/2018;E;FC Barcelona ;Chelsea;01:01;2S;75';01:01;Tir du pied gauche;Andrés Iniesta
Saison 17/18;LaLiga;25;24/02/2018;D;FC Barcelona (1.);Girona FC (8.);06:01;2S;30';02:01;Tir du pied gauche;Luis Suárez
Saison 17/18;;;;;;;;;36';03:01;Coup-franc direct;
Saison 17/18;LaLiga;26;01/03/2018;E;FC Barcelona (1.);UD Las Palmas (18.);01:01;2S;21';00:01;Coup-franc direct;
Saison 17/18;LaLiga;27;04/03/2018;D;FC Barcelona (1.);Atlético Madrid (2.);01:00;2S;26';01:00;Coup-franc direct;
Saison 17/18;UEFA Champions League;Achtelfinale;14/03/2018;D;FC Barcelona ;Chelsea;03:00;2S;3';01:00;Tir du pied droit;Luis Suárez
Saison 17/18;;;;;;;;;63';03:00;Tir du pied gauche;Luis Suárez
Saison 17/18;LaLiga;29;18/03/2018;D;FC Barcelona (1.);Athletic (12.);02:00;2S;30';02:00;Tir du pied gauche;Ousmane Dembélé
Saison 17/18;LaLiga;30;31/03/2018;E;FC Barcelona (1.);Séville FC (6.);02:02;AiD;89';02:02;Tir du pied gauche;Philippe Coutinho
Saison 17/18;LaLiga;31;07/04/2018;D;FC Barcelona (1.);CD Leganés (12.);03:01;2S;27';01:00;Coup-franc direct;
Saison 17/18;;;;;;;;;32';02:00;Tir du pied gauche;Philippe Coutinho
Saison 17/18;;;;;;;;;87';03:01;Tir du pied gauche;Ousmane Dembélé
Saison 17/18;Coupe du Roi;Finale;21/04/2018;E;FC Barcelona ;Séville FC;00:05;2S;31';00:02;Tir du pied gauche;Jordi Alba
Saison 17/18;LaLiga;35;29/04/2018;E;FC Barcelona (1.);Dep. La Coruña (18.);02:04;2S;38';00:02;Tir du pied gauche;Luis Suárez
Saison 17/18;;;;;;;;;82';02:03;Tir du pied droit;Luis Suárez
Saison 17/18;;;;;;;;;85';02:04;Tir du pied gauche;Luis Suárez
Saison 17/18;LaLiga;36;06/05/2018;D;FC Barcelona (1.);Real Madrid (3.);02:02;2S;52';02:01;Tir du pied gauche;Luis Suárez
Saison 17/18;LaLiga;34;09/05/2018;D;FC Barcelona (1.);Villarreal CF (6.);05:01;AC;45';03:00;Tir du pied gauche;Andrés Iniesta
Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19;Saison 18/19
Saison 18/19;LaLiga;1;18/08/2018;D;FC Barcelona (1.);Alavés (11.);03:00;AiD;64';01:00;Coup-franc direct;
Saison 18/19;;;;;;;;;90'+2;03:00;Tir du pied gauche;Luis Suárez
Saison 18/19;LaLiga;3;02/09/2018;D;FC Barcelona (2.);SD Huesca (5.);08:02;AiD;16';01:01;Tir du pied droit;Ivan Rakitic
Saison 18/19;;;;;;;;;61';06:02;Tir du pied gauche;Philippe Coutinho
Saison 18/19;UEFA Champions League;Gruppenphase;18/09/2018;D;FC Barcelona ;PSV Eindhoven;04:00;AiD;31';01:00;Coup-franc direct;
Saison 18/19;;;;;;;;;77';03:00;Tir du pied gauche;Ivan Rakitic
Saison 18/19;;;;;;;;;87';04:00;Tir du pied droit;Luis Suárez
Saison 18/19;LaLiga;5;23/09/2018;D;FC Barcelona (1.);Girona FC (3.);02:02;AiD;19';01:00;Tir du pied gauche;Arturo Vidal
Saison 18/19;UEFA Champions League;Gruppenphase;03/10/2018;E;FC Barcelona ;Tottenham;02:04;AiD;56';01:03;Tir du pied gauche;Jordi Alba
Saison 18/19;;;;;;;;;90';02:04;Tir du pied gauche;Jordi Alba
Saison 18/19;LaLiga;8;07/10/2018;E;FC Barcelona (1.);FC Valencia (13.);01:01;AiD;23';01:01;Tir du pied gauche;Luis Suárez
Saison 18/19;LaLiga;9;20/10/2018;D;FC Barcelona (2.);Séville FC (1.);04:02;AiD;12';02:00;Tir du pied gauche;Luis Suárez
Saison 18/19;LaLiga;12;11/11/2018;D;FC Barcelona (1.);Real Betis (14.);03:04;2S;68';01:02;Penalty;
Saison 18/19;;;;;;;;;90'+4;03:04;Tir du pied gauche;Arturo Vidal
Saison 18/19;UEFA Champions League;Gruppenphase;28/11/2018;E;FC Barcelona ;PSV Eindhoven;01:02;AC;61';00:01;Tir du pied gauche;Ousmane Dembélé
Saison 18/19;LaLiga;15;08/12/2018;E;FC Barcelona (1.);Esp. Barcelona (7.);00:04;AiD;17';00:01;Coup-franc direct;
Saison 18/19;;;;;;;;;65';00:04;Coup-franc direct;
Saison 18/19;LaLiga;16;16/12/2018;E;FC Barcelona (1.);UD Levante (6.);00:05;2S;43';00:02;Tir du pied droit;Sergio Busquets
Saison 18/19;;;;;;;;;47';00:03;Tir du pied gauche;
Saison 18/19;;;;;;;;;60';00:04;Tir du pied gauche;Arturo Vidal
Saison 18/19;LaLiga;17;22/12/2018;D;FC Barcelona (1.);Celta de Vigo (10.);02:00;AiD;45';02:00;Tir du pied gauche;Jordi Alba
Saison 18/19;LaLiga;18;06/01/2019;E;FC Barcelona (1.);FC Getafe (7.);01:02;AiD;20';00:01;Tir du pied gauche;
Saison 18/19;LaLiga;19;13/01/2019;D;FC Barcelona (1.);SD Eibar (12.);03:00;AiD;53';02:00;Tir du pied gauche;Luis Suárez
Saison 18/19;Coupe du Roi;Achtelfinale;17/01/2019;D;FC Barcelona ;UD Levante;03:00;AC;54';03:00;Tir du pied gauche;Nélson Semedo
